,Company,Count of Jobs in that company,Category
0,University of Washington,226,Academic librarian
1,Stanford University,1,Academic librarian
2,Princeton University,1,Academic librarian
3,University of Chicago,1,Academic librarian
4,Emory,1,Academic librarian
5,Robert Half,12743,Accountant
6,Oracle,7592,Accountant
7,Army National Guard,5707,Accountant
8,EY,5431,Accountant
9,Deloitte,3608,Accountant
10,U.S. Army,62,Accounting technician
11,Aerotek,4,Accounting technician
12,PruittHealth,3,Accounting technician
13,United Rentals,2,Accounting technician
14,ABM Industries,2,Accounting technician
15,Humana,905,Actuary
16,"Anthem, Inc",288,Actuary
17,Travelers,257,Actuary
18,Deloitte,215,Actuary
19,Guidehouse,206,Actuary
20,Genesis HealthCare,1060,Adult nurse
21,BAYADA Home Health Care,352,Adult nurse
22,Cleveland Clinic,194,Adult nurse
23,Children's Healthcare of Atlanta,91,Adult nurse
24,"Anthem, Inc",66,Adult nurse
25,iHeartMedia,20,Advertising account executive
26,SPECTRUM,15,Advertising account executive
27,Comcast,10,Advertising account executive
28,Fidelity Investments,7,Advertising account executive
29,Scripps Health,3,Advertising account executive
30,SPECTRUM,2,Advertising account planner
31,Land O’Lakes,1,Advertising account planner
32,Robert Half,5,Advertising copywriter
33,Booz Allen Hamilton,2,Advertising copywriter
34,Intel,1,Advertising copywriter
35,Walgreens,1,Advertising copywriter
36,Purdue University,1,Advertising copywriter
37,JB Hunt,1,Advice worker
38,Georgetown University,1,Advice worker
39,SOSi,1,Advice worker
40,Lockheed Martin,22,Aeronautical engineer
41,ManTech,21,Aeronautical engineer
42,SAIC,18,Aeronautical engineer
43,Raytheon,12,Aeronautical engineer
44,Zimmer Biomet Holdings,12,Aeronautical engineer
45,Bayer,3,Agricultural consultant
46,Titan Machinery,2,Agricultural consultant
47,Washington State University,1,Agricultural consultant
48,GrowMark,66,Agricultural manager
49,BrightView,62,Agricultural manager
50,DISH,46,Agricultural manager
51,Bayer,23,Agricultural manager
52,OSI Group,11,Agricultural manager
53,Army National Guard,455,Air traffic controller
54,Leidos,129,Air traffic controller
55,U.S. Army,62,Air traffic controller
56,SAIC,51,Air traffic controller
57,Sun Country Airlines,28,Air traffic controller
58,Kelly IT,70,Analytical chemist
59,Aerotek,27,Analytical chemist
60,Kelly Services,21,Analytical chemist
61,Select Source International,14,Analytical chemist
62,Bayer,10,Analytical chemist
63,Sephora,415,Animator
64,Facebook,208,Animator
65,CTG,181,Animator
66,Fiserv,161,Animator
67,Merck,144,Animator
68,AECOM,7,Archaeologist
69,Colorado State University,4,Archaeologist
70,Jacobs,4,Archaeologist
71,NextEra Energy,2,Archaeologist
72,Randstad,2,Archaeologist
73,Oracle,27566,Architect
74,Deloitte,4672,Architect
75,Accenture,4233,Architect
76,EY,3743,Architect
77,Humana,2641,Architect
78,Travelers,94,Architectural technologist
79,Perspecta,4,Architectural technologist
80,SAIC,2,Architectural technologist
