,Location,Count of Jobs at that location
0,"California, US",418955
1,"Texas, US",303688
2,"Illinois, US",259936
3,"New York, US",252639
4,"Pennsylvania, US",236316
5,"Florida, US",232094
6,"Ohio, US",212025
7,"Washington, US",197480
8,"Georgia, US",196842
9,"Massachusetts, US",187468
10,"New Jersey, US",175547
11,"North Carolina, US",172415
12,"Virginia, US",169938
13,"Michigan, US",135808
14,"Maryland, US",129996
15,"Indiana, US",128458
16,"Tennessee, US",125303
17,"Arizona, US",121555
18,"Missouri, US",112283
19,"Wisconsin, US",107539
20,"Minnesota, US",107201
21,"Colorado, US",93395
22,"Kentucky, US",78629
23,"Connecticut, US",75035
24,"South Carolina, US",71902
25,"Alabama, US",70723
26,"Oregon, US",67892
27,"Iowa, US",64408
28,"Mississippi, US",54308
29,"Utah, US",53744
30,"Louisiana, US",50063
31,"Oklahoma, US",49170
32,"Arkansas, US",49167
33,"Kansas, US",46901
34,"Nebraska, US",34355
35,"New Hampshire, US",33804
36,"Nevada, US",31926
37,"New Mexico, US",30390
38,"Idaho, US",28224
39,"Rhode Island, US",26932
40,"West Virginia, US",26225
41,"Maine, US",23443
42,"Delaware, US",17766
43,"Montana, US",16897
44,"Vermont, US",16508
45,"South Dakota, US",15994
46,"North Dakota, US",14013
47,"Hawaii, US",12638
48,"Alaska, US",10025
49,"Wyoming, US",9168
50,"Washington, D.C., US",6231
51,"Puerto Rico, US",4684
52,"Guam, US",191
