,Approximate Salary,Count of Jobs in that salary range,Category
0,120000,0,Academic librarian
1,80000,0,Academic librarian
2,40000,0,Academic librarian
3,60000,0,Academic librarian
4,100000,0,Academic librarian
5,20000,0,Academic librarian
6,140000,0,Academic librarian
7,40000,555,Accountant
8,120000,179,Accountant
9,60000,595,Accountant
10,100000,238,Accountant
11,80000,359,Accountant
12,140000,158,Accountant
13,20000,898,Accountant
14,140000,0,Accounting technician
15,20000,1,Accounting technician
16,100000,0,Accounting technician
17,40000,2,Accounting technician
18,60000,2,Accounting technician
19,80000,1,Accounting technician
20,120000,0,Accounting technician
21,120000,45,Actuary
22,40000,1,Actuary
23,140000,102,Actuary
24,80000,18,Actuary
25,20000,2,Actuary
26,60000,4,Actuary
27,100000,37,Actuary
28,100000,1,Adult nurse
29,120000,2,Adult nurse
30,40000,2,Adult nurse
31,60000,3,Adult nurse
32,80000,1,Adult nurse
33,20000,0,Adult nurse
34,140000,0,Adult nurse
35,100000,0,Advertising account executive
36,140000,0,Advertising account executive
37,20000,0,Advertising account executive
38,120000,0,Advertising account executive
39,40000,0,Advertising account executive
40,80000,0,Advertising account executive
41,60000,0,Advertising account executive
42,140000,0,Advertising account planner
43,60000,0,Advertising account planner
44,20000,0,Advertising account planner
45,80000,0,Advertising account planner
46,100000,0,Advertising account planner
47,120000,0,Advertising account planner
48,40000,0,Advertising account planner
49,140000,0,Advertising copywriter
50,100000,0,Advertising copywriter
51,20000,1,Advertising copywriter
52,60000,0,Advertising copywriter
53,80000,0,Advertising copywriter
54,120000,0,Advertising copywriter
55,40000,0,Advertising copywriter
56,20000,0,Advice worker
57,140000,0,Advice worker
58,80000,0,Advice worker
59,100000,0,Advice worker
60,120000,0,Advice worker
61,60000,0,Advice worker
62,40000,0,Advice worker
63,40000,0,Advocate (Scotland)
64,140000,0,Advocate (Scotland)
65,100000,0,Advocate (Scotland)
66,20000,0,Advocate (Scotland)
67,60000,0,Advocate (Scotland)
68,120000,0,Advocate (Scotland)
69,80000,0,Advocate (Scotland)
70,80000,1,Aeronautical engineer
71,20000,2,Aeronautical engineer
72,60000,0,Aeronautical engineer
73,100000,0,Aeronautical engineer
74,140000,0,Aeronautical engineer
75,40000,0,Aeronautical engineer
76,120000,0,Aeronautical engineer
77,40000,0,Agricultural consultant
78,80000,1,Agricultural consultant
79,60000,1,Agricultural consultant
80,120000,0,Agricultural consultant
81,100000,0,Agricultural consultant
82,20000,0,Agricultural consultant
83,140000,0,Agricultural consultant
84,140000,1,Agricultural manager
85,100000,0,Agricultural manager
86,120000,0,Agricultural manager
87,40000,1,Agricultural manager
88,80000,1,Agricultural manager
89,20000,1,Agricultural manager
90,60000,0,Agricultural manager
91,40000,0,Aid worker/humanitarian worker
92,80000,0,Aid worker/humanitarian worker
93,60000,0,Aid worker/humanitarian worker
94,120000,0,Aid worker/humanitarian worker
95,20000,0,Aid worker/humanitarian worker
96,140000,0,Aid worker/humanitarian worker
97,100000,0,Aid worker/humanitarian worker
98,80000,0,Air traffic controller
99,40000,0,Air traffic controller
100,140000,0,Air traffic controller
101,100000,0,Air traffic controller
102,60000,1,Air traffic controller
103,120000,0,Air traffic controller
104,20000,0,Air traffic controller
105,40000,0,Airline cabin crew
106,140000,0,Airline cabin crew
107,20000,0,Airline cabin crew
108,80000,0,Airline cabin crew
109,60000,0,Airline cabin crew
110,120000,0,Airline cabin crew
111,100000,0,Airline cabin crew
112,80000,0,Amenity horticulturist
113,20000,0,Amenity horticulturist
114,60000,0,Amenity horticulturist
115,120000,0,Amenity horticulturist
116,40000,0,Amenity horticulturist
117,100000,0,Amenity horticulturist
118,140000,0,Amenity horticulturist
119,140000,1,Analytical chemist
120,20000,1,Analytical chemist
121,60000,0,Analytical chemist
122,80000,0,Analytical chemist
123,100000,2,Analytical chemist
124,120000,0,Analytical chemist
125,40000,4,Analytical chemist
126,40000,0,Animal nutritionist
127,20000,0,Animal nutritionist
128,140000,0,Animal nutritionist
129,60000,0,Animal nutritionist
130,120000,0,Animal nutritionist
131,100000,0,Animal nutritionist
132,80000,0,Animal nutritionist
133,40000,3,Animator
134,140000,5,Animator
135,20000,9,Animator
136,80000,5,Animator
137,120000,3,Animator
138,60000,7,Animator
139,100000,7,Animator
140,80000,0,Archaeologist
141,20000,0,Archaeologist
142,60000,0,Archaeologist
143,40000,1,Archaeologist
144,120000,0,Archaeologist
145,100000,0,Archaeologist
146,140000,0,Archaeologist
147,120000,179,Architect
148,40000,52,Architect
149,140000,293,Architect
150,80000,177,Architect
151,20000,93,Architect
152,60000,85,Architect
153,100000,169,Architect
154,80000,0,Architectural technologist
155,60000,0,Architectural technologist
156,100000,0,Architectural technologist
157,120000,0,Architectural technologist
158,140000,0,Architectural technologist
159,20000,0,Architectural technologist
160,40000,0,Architectural technologist
161,120000,0,Archivist
162,80000,0,Archivist
163,40000,0,Archivist
164,140000,0,Archivist
165,100000,0,Archivist
166,20000,0,Archivist
167,60000,1,Archivist
168,60000,0,Armed forces officer
169,20000,0,Armed forces officer
170,80000,0,Armed forces officer
171,120000,0,Armed forces officer
172,40000,0,Armed forces officer
173,140000,0,Armed forces officer
174,100000,0,Armed forces officer
175,120000,0,Aromatherapist
176,80000,0,Aromatherapist
177,140000,0,Aromatherapist
178,40000,0,Aromatherapist
179,100000,0,Aromatherapist
180,20000,0,Aromatherapist
181,60000,0,Aromatherapist
182,80000,1,Art therapist
183,120000,0,Art therapist
184,100000,0,Art therapist
185,20000,1,Art therapist
186,60000,0,Art therapist
187,140000,0,Art therapist
188,40000,0,Art therapist
189,40000,2,Arts administrator
190,120000,0,Arts administrator
191,100000,0,Arts administrator
192,140000,0,Arts administrator
193,80000,1,Arts administrator
194,20000,0,Arts administrator
195,60000,0,Arts administrator
196,100000,37,Auditor
197,20000,139,Auditor
198,140000,30,Auditor
199,120000,33,Auditor
200,60000,81,Auditor
201,80000,65,Auditor
202,40000,44,Auditor
203,100000,1,Automotive engineer
204,140000,0,Automotive engineer
205,120000,0,Automotive engineer
206,40000,2,Automotive engineer
207,60000,1,Automotive engineer
208,20000,1,Automotive engineer
209,80000,3,Automotive engineer
210,120000,0,Barrister
211,80000,0,Barrister
212,60000,0,Barrister
213,40000,0,Barrister
214,100000,0,Barrister
215,20000,0,Barrister
216,140000,0,Barrister
217,120000,0,Barrister’s clerk
218,60000,0,Barrister’s clerk
219,100000,0,Barrister’s clerk
220,80000,0,Barrister’s clerk
221,140000,0,Barrister’s clerk
222,20000,0,Barrister’s clerk
223,40000,0,Barrister’s clerk
224,80000,10,Bid manager
225,20000,6,Bid manager
226,60000,1,Bid manager
227,100000,2,Bid manager
228,140000,3,Bid manager
229,120000,2,Bid manager
230,40000,9,Bid manager
231,140000,0,Bilingual secretary
232,100000,0,Bilingual secretary
233,80000,0,Bilingual secretary
234,40000,0,Bilingual secretary
235,20000,1,Bilingual secretary
236,120000,0,Bilingual secretary
237,60000,0,Bilingual secretary
238,140000,2,Biomedical engineer
239,20000,5,Biomedical engineer
240,100000,4,Biomedical engineer
241,60000,7,Biomedical engineer
242,120000,4,Biomedical engineer
243,80000,3,Biomedical engineer
244,40000,4,Biomedical engineer
245,120000,0,Biomedical scientist
246,40000,0,Biomedical scientist
247,140000,0,Biomedical scientist
248,100000,1,Biomedical scientist
249,20000,1,Biomedical scientist
250,80000,2,Biomedical scientist
251,60000,0,Biomedical scientist
252,140000,0,Biotechnologist
253,20000,0,Biotechnologist
254,100000,0,Biotechnologist
255,120000,0,Biotechnologist
256,60000,0,Biotechnologist
257,80000,0,Biotechnologist
258,40000,0,Biotechnologist
259,20000,0,Border force officer
260,140000,0,Border force officer
261,80000,0,Border force officer
262,60000,0,Border force officer
263,40000,0,Border force officer
264,120000,0,Border force officer
265,100000,0,Border force officer
